similitud,codigo_1,codigo_2,establecimiento_1,establecimiento_2,jornada_1,jornada_2,modalidad_1,modalidad_2,plan_1,plan_2,director_1,director_2,status_1,status_2
100.0,00-01-0458-46,00-01-0460-46,LICEO CULTURAL ESPAÑOL,LICEO CULTURAL ESPAÑOL,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ELDER ALCIDES REGALADO LEMUS,ELDER ALCIDES REGALADO LEMUS,ABIERTA,ABIERTA
100.0,00-01-0440-46,00-01-0441-46,LICEO MULTICULTURAL GUATEMALTECO,LICEO MULTICULTURAL GUATEMALTECO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,JOSE RICARDO REYES MORA,JOSE RICARDO REYES MORA,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,18-01-0242-46,18-01-0243-46,INSTITUTO PARTICULAR MIXTO JOSE MARIA BONILLA RUANO,INSTITUTO PARTICULAR MIXTO JOSE MARIA BONILLA RUANO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,GUSTAVO GUMERCINDO RODAS MAZARIEGOS,GUSTAVO GUMERCINDO RODAS MAZARIEGOS,ABIERTA,ABIERTA
100.0,17-10-0207-46,17-10-0248-46,"COLEGIO PRIVADO MIXTO ""JACOBO ARBENZ GUZMAN""","COLEGIO PRIVADO MIXTO ""JACOBO ARBENZ GUZMAN""",VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),AUGUSTO GARCÍA RIVERA,AUGUSTO GARCÍA RIVERA,ABIERTA,ABIERTA
100.0,04-03-0218-46,04-03-0229-46,COLEGIO PRIVADO EL VALLE,COLEGIO PRIVADO EL VALLE,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,OLGA MARINA RUANO GÁMEZ,OLGA MARINA RUANO GÁMEZ,ABIERTA,ABIERTA
100.0,10-13-0039-46,10-13-0040-46,"COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""","COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ROMEO RODRIGUEZ RUBIO,ROMEO RODRIGUEZ RUBIO,ABIERTA,ABIERTA
100.0,10-15-0025-46,10-15-0028-46,"CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""","CENTRO DE ESTUDIOS COMUNITARIO DE DIVERSIFICADO ""EL ESFUERZO""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,VICTOR MANUEL MONTERROSO RAMIREZ,VICTOR MANUEL MONTERROSO RAMIREZ,ABIERTA,ABIERTA
100.0,09-01-0132-46,09-01-3534-46,INSTITUTO NORMAL PARA SEÑORITAS DE OCCIDENTE,INSTITUTO NORMAL PARA SEÑORITAS DE OCCIDENTE,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),ROSELIA HAYDÉE LÓPEZ MONZÓN,ROSELIA HAYDÉE LÓPEZ MONZÓN,ABIERTA,ABIERTA
100.0,18-04-0204-46,18-04-0205-46,"INSTITUTO PRIVADO MIXTO ""JOSÉ CECILIO DEL VALLE""","INSTITUTO PRIVADO MIXTO ""JOSÉ CECILIO DEL VALLE""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,VÍCTOR MANUEL BONILLA MARROQUIN,VÍCTOR MANUEL BONILLA MARROQUIN,ABIERTA,ABIERTA
100.0,08-01-0237-46,08-01-0241-46,COLEGIO ADVENTISTA MARANATHA,COLEGIO ADVENTISTA MARANATHA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,PATROCINIO ABELINO TZUL BARRENO,PATROCINIO ABELINO TZUL BARRENO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,10-20-0026-46,10-20-0034-46,"INSTITUTO PRIVADO MIXTO ""EDUCACION Y DESARROLLO""","INSTITUTO PRIVADO MIXTO ""EDUCACION Y DESARROLLO""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,GERSON ELIAZAR VELASQUEZ VASQUEZ,GERSON ELIAZAR VELASQUEZ VASQUEZ,ABIERTA,ABIERTA
100.0,10-15-0040-46,10-15-0041-46,"COLEGIO PRIVADO MIXTO ""SANTA BARBARA""","COLEGIO PRIVADO MIXTO ""SANTA BARBARA""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,LUIS FERNANDO ACUTA QUIEJ,LUIS FERNANDO ACUTA QUIEJ,ABIERTA,ABIERTA
